Source	Revision	Code	Name
mca	202112	140213	平城区
mca	202112	140214	云冈区
mca	202112	140215	云州区
mca	202112	140221	阳高县
mca	202112	140222	天镇县
mca	202112	140223	广灵县
mca	202112	140224	灵丘县
mca	202112	140225	浑源县
mca	202112	140226	左云县
mca	202112	140300	阳泉市
mca	202112	140302	城区
mca	202112	140303	矿区
mca	202112	140311	郊区
mca	202112	140321	平定县
mca	202112	140322	盂县
mca	202112	140400	长治市
mca	202112	140403	潞州区
mca	202112	140404	上党区
mca	202112	140405	屯留区
mca	202112	140406	潞城区
mca	202112	140423	襄垣县
mca	202112	140425	平顺县
mca	202112	140426	黎城县
mca	202112	140427	壶关县
mca	202112	140428	长子县
mca	202112	140429	武乡县
mca	202112	140430	沁县
mca	202112	140431	沁源县
mca	202112	140500	晋城市
mca	202112	140502	城区
mca	202112	140521	沁水县
mca	202112	140522	阳城县
mca	202112	140524	陵川县
mca	202112	140525	泽州县
mca	202112	140581	高平市
mca	202112	140600	朔州市
mca	202112	140602	朔城区
mca	202112	140603	平鲁区
mca	202112	140621	山阴县
mca	202112	140622	应县
mca	202112	140623	右玉县
mca	202112	140681	怀仁市
mca	202112	140700	晋中市
mca	202112	140702	榆次区
mca	202112	140703	太谷区
mca	202112	140721	榆社县
mca	202112	140722	左权县
mca	202112	140723	和顺县
mca	202112	140724	昔阳县
mca	202112	140725	寿阳县
mca	202112	140727	祁县
mca	202112	140728	平遥县
mca	202112	140729	灵石县
mca	202112	140781	介休市
mca	202112	140800	运城市
mca	202112	140802	盐湖区
mca	202112	140821	临猗县
mca	202112	140822	万荣县
mca	202112	140823	闻喜县
mca	202112	140824	稷山县
mca	202112	140825	新绛县
mca	202112	140826	绛县
mca	202112	140827	垣曲县
mca	202112	140828	夏县
mca	202112	140829	平陆县
mca	202112	140830	芮城县
mca	202112	140881	永济市
mca	202112	140882	河津市
mca	202112	140900	忻州市
mca	202112	140902	忻府区
mca	202112	140921	定襄县
mca	202112	140922	五台县
mca	202112	140923	代县
mca	202112	140924	繁峙县
mca	202112	140925	宁武县
mca	202112	140926	静乐县
mca	202112	140927	神池县
mca	202112	140928	五寨县
mca	202112	140929	岢岚县
mca	202112	140930	河曲县
mca	202112	140931	保德县
mca	202112	140932	偏关县
mca	202112	140981	原平市
mca	202112	141000	临汾市
mca	202112	141002	尧都区
mca	202112	141021	曲沃县
mca	202112	141022	翼城县
mca	202112	141023	襄汾县
mca	202112	141024	洪洞县
mca	202112	141025	古县
mca	202112	141026	安泽县
mca	202112	141027	浮山县
mca	202112	141028	吉县
mca	202112	141029	乡宁县
mca	202112	141030	大宁县
mca	202112	141031	隰县
mca	202112	141032	永和县
mca	202112	141033	蒲县
mca	202112	141034	汾西县
mca	202112	141081	侯马市
mca	202112	141082	霍州市
mca	202112	141100	吕梁市
mca	202112	141102	离石区
mca	202112	141121	文水县
mca	202112	141122	交城县
mca	202112	141123	兴县
mca	202112	141124	临县
mca	202112	141125	柳林县
mca	202112	141126	石楼县
mca	202112	141127	岚县
mca	202112	141128	方山县
mca	202112	141129	中阳县
mca	202112	141130	交口县
mca	202112	141181	孝义市
mca	202112	141182	汾阳市
mca	202112	150000	内蒙古自治区
mca	202112	150100	呼和浩特市
mca	202112	150102	新城区
mca	202112	150103	回民区
mca	202112	150104	玉泉区
mca	202112	150105	赛罕区
mca	202112	150121	土默特左旗
mca	202112	150122	托克托县
mca	202112	150123	和林格尔县
mca	202112	150124	清水河县
mca	202112	150125	武川县
mca	202112	150200	包头市
mca	202112	150202	东河区
mca	202112	150203	昆都仑区
mca	202112	150204	青山区
mca	202112	150205	石拐区
mca	202112	150206	白云鄂博矿区
mca	202112	150207	九原区
mca	202112	150221	土默特右旗
mca	202112	150222	固阳县
mca	202112	150223	达尔罕茂明安联合旗
mca	202112	150300	乌海市
mca	202112	150302	海勃湾区
mca	202112	150303	海南区
mca	202112	150304	乌达区
mca	202112	150400	赤峰市
mca	202112	150402	红山区
mca	202112	150403	元宝山区
mca	202112	150404	松山区
mca	202112	150421	阿鲁科尔沁旗
